TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;13.397.713/0001-82;CASTELNUOVO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2371.71;;;Outros;999 X 999
FI;13.397.713/0001-82;CASTELNUOVO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;14852.48;;;Outros;999 X 999
FI;13.397.802/0001-29;VINCI PORTIFÓLIO 10 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3208.78;;;Outros;999 X 999
FI;13.397.802/0001-29;VINCI PORTIFÓLIO 10 FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;28354.51;;;Outros;999 X 999
FI;13.402.179/0001-55;VINCI ALDEBARAN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;9207.81;;;Outros;999 X 999
FI;13.402.179/0001-55;VINCI ALDEBARAN FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;33633.66;;;Outros;999 X 999
FI;13.914.334/0001-12;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO ELMA CHIPS;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;439989.36;;;SDL;DI1 X IAP
FI;14.239.657/0001-10;FUNDO DE INVESTIMENTO CAIXA MASTER CAPITAL PROTEGIDO IBOVESPA I MULTIMERCADO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2021090.97;;;SDP;DI1 X PRE
FI;15.037.582/0001-58;BB PREV PUBLICO RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7832266.47;;;SDM;DI1 X IGM
FI;15.037.582/0001-58;BB PREV PUBLICO RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;25789831.24;;;SFD;IPC X DI1
FI;15.037.582/0001-58;BB PREV PUBLICO RF FUNDO DE INVESTIMENTO RENDA FIXA;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3524013.35;;;SDM;DI1 X IGM
FI;15.060.253/0001-28;QUARTZ DC PLAN FUNDO DE INVESTIMENTO RENDA FIXA PREVIDENCIÁRIO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2991238.03;;;SDL;DI1 X IAP
FI;15.259.071/0001-80;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA NILO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;38575769.35;;;SDL;DI1 X IAP
FI;15.259.071/0001-80;BRADESCO H FUNDO DE INVESTIMENTO RENDA FIXA NILO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;39592743.97;;;SDL;DI1 X IAP
FI;15.740.377/0001-54;SANTANDER FI DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;361574075.11;;;SDP;DI1 X PRE
FI;15.740.377/0001-54;SANTANDER FI DIAMANTINA MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;35574255.16;;;SDP;DI1 X PRE
FI;16.916.060/0001-99;FUNDO DE INVESTIMENTO CAIXA INDEXA OURO MULTIMERCADO LONGO PRAZO;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;75932.71;;;Outros;999 X 999
FI;16.916.060/0001-99;FUNDO DE INVESTIMENTO CAIXA INDEXA OURO MULTIMERCADO LONGO PRAZO;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2214585.09;;;Outros;999 X 999
FI;17.136.919/0001-00;SSMM FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;5301.47;;;Outros;999 X 999
FI;17.136.919/0001-00;SSMM FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;4665.29;;;Outros;999 X 999
FI;17.136.936/0001-47;EAE FUTURO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;33482.99;;;Outros;999 X 999
FI;17.136.936/0001-47;EAE FUTURO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;106057.39;;;Outros;999 X 999
FI;17.137.519/0001-19;EVA FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7673.18;;;Outros;999 X 999
FI;17.137.519/0001-19;EVA FUNDO DE INVESTIMENTO MULTIMERCADO - CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2021-12-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;19517.78;;;Outros;999 X 999
